#{"t_start": 1713106215.168335, "env_id": null}
r,l,t
241.713253,1428,2992.260253
-322.971563,1428,2996.093876
-274.459025,1428,2999.902474
-111.990239,1428,3003.712393
254.709325,1428,3007.521456
154.403906,1428,3011.381142
-104.744125,1428,3015.241643
827.256803,1428,3019.181831
1392.480071,1428,3023.043787
-594.876281,1428,3026.836453
-393.842901,1428,3030.683823
-397.975321,1428,3034.423346
-183.444497,1428,3038.258475
-462.208268,1428,3042.037201
2173.197859,1428,3045.874861
3909.249814,1428,3049.78819
1373.181665,1428,3053.586735
-90.65223,1428,3057.395561
886.955549,1428,3061.181229
-121.122952,1428,3064.997526
451.279874,1428,3068.805293
-29.014524,1428,3072.575055
-232.20833,1428,3076.37016
-165.695879,1428,3080.223499
-402.850149,1428,3084.00586
-164.202456,1428,3087.739976
139.254955,1428,3091.387809
-4.489347,1428,3094.824759
-440.774613,1428,3098.212371
228.227461,1428,3101.628043
-157.381217,1428,3105.076888
1122.822743,1428,3108.580717
380.228703,1428,3112.102745
776.295742,1428,3115.60965
880.186776,1428,3119.044844
-131.511581,1428,3122.619574
-122.125797,1428,3126.141006
-280.58484,1428,3129.569786
-366.142263,1428,3133.084194
574.841069,1428,3136.583467
-182.444285,1428,3140.065066
-349.951251,1428,3143.535155
2150.144921,1428,3147.091249
32.054703,1428,3150.545136
-262.756543,1428,3153.970931
-229.845254,1428,3157.416595
570.478921,1428,3160.849121
-225.827316,1428,3164.282462
-488.284486,1428,3167.751312
-91.211448,1428,3171.205516
-192.672092,1428,3174.654141
-221.677705,1428,3178.091264
266.253749,1428,3181.526933
-298.502818,1428,3184.951604
-303.972244,1428,3188.409725
-171.224715,1428,3191.829541
-191.598439,1428,3195.329092
-410.510238,1428,3198.780015
-243.967593,1428,3202.166588
1087.41579,1428,3205.599917
850.538796,1428,3209.065699
1125.644513,1428,3212.664361
642.663812,1428,3216.105732
-581.233052,1428,3219.54543
1205.341185,1428,3223.117389
-402.721657,1428,3226.595477
-137.901599,1428,3230.077927
-162.539524,1428,3233.57474
-672.30282,1428,3237.055147
922.901964,1428,3240.533267
312.271862,1428,3243.972775
-308.449386,1428,3247.454688
-821.994245,1428,3250.984206
-399.146731,1428,3254.443144
-238.894263,1428,3257.928691
-175.530731,1428,3261.364042
1114.234198,1428,3264.913843
-355.141416,1428,3268.373206
691.788986,1428,3271.867939
-159.312221,1428,3275.323478
-84.739133,1428,3278.831024
250.619143,1428,3282.341816
-1074.94032,1428,3285.834366
-677.708126,1428,3289.315128
