#{"t_start": 1713105789.0286548, "env_id": null}
r,l,t
11501.325291,7142,15404.067161
10150.178097,7142,15423.517507
11945.650953,7142,15442.921165
10732.923334,7142,15462.231668
11693.685242,7142,15481.798908
10347.938047,7142,15501.376982
9628.669627,7142,15520.897228
8553.520724,7142,15540.505162
6474.051276,7142,15560.369371
11017.67326,7142,15579.876595
12386.540782,7142,15599.503951
11378.66551,7142,15618.804037
10199.504167,7142,15638.191835
10722.906084,7142,15657.602004
7352.765606,7142,15677.536029
8185.053995,7142,15697.243958
11249.468803,7142,15716.862235
11749.620468,7142,15736.309024
11701.480158,7142,15755.791304
10563.917172,7142,15775.326473
11242.246899,7142,15794.851857
12314.118889,7142,15814.61366
10820.625703,7142,15834.102713
11199.28543,7142,15853.616051
12663.756728,7142,15873.281766
11653.618248,7142,15892.7125
9567.486662,7142,15912.669175
11661.531635,7142,15932.213965
9397.213894,7142,15951.547434
8844.904261,7142,15971.116678
10471.532258,7142,15990.370777
10598.691166,7142,16009.94404
12990.715006,7142,16029.432446
10954.981646,7142,16049.027668
11521.294578,7142,16068.505738
11116.265646,7142,16087.905669
10117.471326,7142,16107.442654
9597.871448,7142,16126.912772
11321.091305,7142,16146.458671
9286.289461,7142,16165.881897
11248.52344,7142,16185.490297
10409.101431,7142,16204.936917
11799.206611,7142,16224.411386
9044.753993,7142,16244.380576
12281.358486,7142,16263.954407
9333.651967,7142,16283.566368
12497.780432,7142,16302.997015
4912.571783,7142,16322.45373
13010.830748,7142,16341.863564
10940.823543,7142,16361.209428
9930.425675,7142,16380.524802
11284.370965,7142,16399.974298
5631.799898,7142,16419.900053
9507.806301,7142,16439.217053
11691.689422,7142,16458.646122
12469.6505,7142,16478.175221
10075.567095,7142,16497.419061
7419.563471,7142,16517.566964
9898.007148,7142,16537.084062
10707.178136,7142,16556.537464
5574.136809,7142,16576.163386
11604.021599,7142,16595.486748
12276.628743,7142,16615.050667
10240.018077,7142,16634.4842
11579.170055,7142,16654.022369
12008.231013,7142,16673.613284
8913.661821,7142,16693.40933
10623.754618,7142,16712.96469
8938.721359,7142,16732.695266
8693.364038,7142,16752.771941
12051.798879,7142,16772.276163
11395.223232,7142,16791.795173
11801.654529,7142,16811.265625
12543.996142,7142,16830.778567
11212.838868,7142,16850.304215
6727.660832,7142,16869.903012
8411.31405,7142,16889.806041
11899.286138,7142,16909.220467
10641.570154,7142,16928.53995
5253.641046,7142,16948.5097
-4208.694364,7142,16968.227472
9418.062469,7142,16987.867128
11790.727281,7142,17007.390496
10242.519222,7142,17026.87873
9403.431279,7142,17046.427564
10093.834541,7142,17065.946801
10481.32682,7142,17085.50491
11129.563979,7142,17104.861067
8964.382523,7142,17124.308294
10109.372386,7142,17143.7873
11191.151305,7142,17163.440888
8885.534997,7142,17183.287638
11864.659567,7142,17202.592079
9681.476041,7142,17222.244562
11795.97494,7142,17241.64991
8523.896074,7142,17261.579593
10775.892477,7142,17280.865324
6506.86918,7142,17300.704849
11971.448113,7142,17320.567114
10903.64281,7142,17340.056202
9863.704763,7142,17359.812506
9347.896404,7142,17379.122074
10538.988891,7142,17398.774899
4566.448389,7142,17418.296924
8214.384188,7142,17437.996974
12779.159633,7142,17457.51205
10386.737084,7142,17476.961174
11551.767966,7142,17496.640861
-11250.48871,7142,17515.929482
12009.543691,7142,17535.326209
13277.043314,7142,17555.073479
-4602.641384,7142,17574.55785
1388.554754,7142,17594.27679
2741.822904,2698,17601.627973
4946.656873,7142,17621.523982
10847.745818,7142,17640.981208
10396.648611,7142,17660.838015
9495.589954,7142,17680.337481
12005.654781,7142,17699.87441
